latitude,longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,source,operator,network_type,label_source,sample_weight,is_deadzone,signal_target,regression_weight,quality_score,cost231_predicted_rsrp,p1812_rsrp_dbm,p1812_distance_km,p1812_diffraction_loss_db
34.31848685867646,35.78521728515625,2668.0,3461.0,20.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-103.42745355011945,0.6,0.6391679007783008,,,,
34.31848685867646,35.79071044921875,18612.0,5304.0,24.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-91.61012919055872,0.6,0.8063512911941452,,,,
34.31394984163213,35.77423095703125,4796.0,428.0,28.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-100.22730599481035,0.6,0.6397896332913853,,,,
34.31394984163213,35.77972412109375,34794.0,8267.0,29.0,3.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-87.61544775391631,0.6,0.8643686813616523,,,,
34.31848685867646,35.79620361328125,77658.0,5899.0,21.0,4.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-78.64793542253857,0.6,0.9284694914528763,,,,
34.33209643835391,35.82916259765625,21310.0,14543.0,15.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.87144490936316,0.6,0.8436568242306878,,,,
34.33209643835391,35.83465576171875,38394.0,8768.0,21.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-86.90523611326964,0.6,0.8783947667363903,,,,
34.3411682651075,35.84014892578125,8733.0,605.0,31.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-95.97725377352764,0.6,0.6947760168479755,,,,
34.327560157052524,35.84014892578125,17142.0,1395.0,15.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-92.05908572064077,0.6,0.777172651263963,,,,
34.327560157052524,35.84564208984375,2186.0,3398.0,26.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-104.51474894320651,0.6,0.6188064587288002,,,,
34.31394984163213,35.83465576171875,10230.0,581.0,23.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-94.87591554635188,0.6,0.7116916661635031,,,,
34.30941257937056,35.84014892578125,1494.0,2098.0,28.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-107.10409925936425,0.6,0.576182366960654,,,,
34.30941257937056,35.85113525390625,9223.0,14751.0,25.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-95.58345998518757,0.6,0.7688412773255786,,,,
34.71678232049369,36.01593017578125,11005.0,1120.0,25.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-94.47743320622428,0.6,0.7301397493573274,,,,
34.6309479733581,35.97747802734375,32591.0,3997.0,18.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-88.0872723773089,0.6,0.850342652633849,,,,
34.70775131553933,36.03790283203125,7294.0,26944.0,43.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-97.27608947606669,0.6,0.7513939747019773,,,,
34.68516948942845,36.05438232421875,1044.0,1031.0,188.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,1,-109.68939144046101,0.6,0.4385475628037037,,,,
